franchise_season_id,squad,person_id,name,matches,stumpings,catches,catch_rank,balls_bowled,keeper_elsewhere,cricinfo_id,kept
97,2015 Mumbai Indians,b5da6c24,PA Patel,14,3,7,2,0,y,32242,y
97,2015 Mumbai Indians,70d205c9,AT Rayudu,14,0,9,1,0,y,33141,
97,2015 Mumbai Indians,89f64c19,LMP Simmons,13,0,6,3,0,,53116,
97,2015 Mumbai Indians,855a210c,AP Tare,2,0,1,6,0,y,333904,
138,2015 Rajasthan Royals,a4cc73aa,SV Samson,14,0,9,1,0,y,425943,y
138,2015 Rajasthan Royals,30a45b23,SPD Smith,13,0,7,2,0,,267192,
138,2015 Rajasthan Royals,29e95537,AM Rahane,14,0,3,3,0,,277916,
157,2015 Royal Challengers Bangalore,c03f1114,KD Karthik,16,4,14,1,0,y,30045,y
157,2015 Royal Challengers Bangalore,c4487b84,AB de Villiers,15,0,8,2,0,y,44936,
157,2015 Royal Challengers Bangalore,c3a96caf,Mandeep Singh,10,0,7,3,0,,398506,
157,2015 Royal Challengers Bangalore,5afd4539,MS Bisla,2,0,1,5,0,y,27280,
171,2015 Sunrisers Hyderabad,890946a0,NV Ojha,12,1,6,2,0,y,32102,y
171,2015 Sunrisers Hyderabad,dcce6f09,DA Warner,14,0,8,1,0,,219889,
171,2015 Sunrisers Hyderabad,0a476045,S Dhawan,14,0,6,3,0,,28235,
171,2015 Sunrisers Hyderabad,b17e2f24,KL Rahul,8,0,1,7,0,y,422108,
1,2016 Delhi Daredevils,372455c4,Q de Kock,13,2,2,6,0,y,379143,y
1,2016 Delhi Daredevils,a4cc73aa,SV Samson,14,1,3,4,0,y,425943,y
1,2016 Delhi Daredevils,85ec8e33,SS Iyer,6,0,4,1,0,,642519,
1,2016 Delhi Daredevils,944533a5,KK Nair,13,0,3,2,0,,398439,
1,2016 Delhi Daredevils,919a3be2,RR Pant,10,0,3,3,0,y,931581,
1,2016 Delhi Daredevils,c16d4035,SW Billings,5,0,3,5,0,y,297628,
2,2016 Gujarat Lions,c03f1114,KD Karthik,16,3,11,1,0,y,30045,y
2,2016 Gujarat Lions,b8d490fd,AJ Finch,12,0,3,2,0,,5334,
2,2016 Gujarat Lions,b274dbbd,ER Dwivedi,3,0,2,3,0,,340841,
2,2016 Gujarat Lions,752f7486,Ishan Kishan,5,0,1,4,0,y,720471,
2,2016 Gujarat Lions,b8a55852,BB McCullum,16,0,0,,0,y,37737,
5,2016 Kings XI Punjab,fe11caa6,WP Saha,12,3,7,2,0,y,279810,y
5,2016 Kings XI Punjab,d67d5f00,DA Miller,14,0,10,1,0,,321777,
5,2016 Kings XI Punjab,c03e2850,M Vohra,7,0,3,3,0,,532856,
5,2016 Kings XI Punjab,6eb146d2,Gurkeerat Singh,7,0,5,,26,y,537124,
3,2016 Kolkata Knight Riders,1c17e270,RV Uthappa,15,4,10,1,0,y,35582,y
3,2016 Kolkata Knight Riders,93b4fc78,MK Pandey,11,0,7,2,0,,290630,
3,2016 Kolkata Knight Riders,271f83cd,SA Yadav,13,0,6,3,0,,446507,
4,2016 Mumbai Indians,b5da6c24,PA Patel,10,1,9,1,0,y,32242,y
4,2016 Mumbai Indians,99b75528,JC Buttler,14,0,7,2,0,y,308967,
4,2016 Mumbai Indians,70d205c9,AT Rayudu,12,0,4,3,0,y,33141,
6,2016 Rising Pune Supergiants,4a8a2e3b,MS Dhoni,14,4,8,1,0,y,28081,y
6,2016 Rising Pune Supergiants,29e95537,AM Rahane,14,0,7,2,0,,277916,
6,2016 Rising Pune Supergiants,3355b542,F du Plessis,6,0,4,3,0,,44828,
7,2016 Royal Challengers Bangalore,b17e2f24,KL Rahul,13,4,5,2,0,y,422108,y
7,2016 Royal Challengers Bangalore,c4487b84,AB de Villiers,16,0,19,1,0,y,44936,
7,2016 Royal Challengers Bangalore,99d63244,KM Jadhav,3,0,1,3,0,y,290716,
8,2016 Sunrisers Hyderabad,890946a0,NV Ojha,15,0,18,1,0,y,32102,y
8,2016 Sunrisers Hyderabad,0a476045,S Dhawan,17,0,5,2,0,,28235,
8,2016 Sunrisers Hyderabad,dcce6f09,DA Warner,17,0,4,3,0,,219889,
8,2016 Sunrisers Hyderabad,855a210c,AP Tare,2,0,1,5,0,y,333904,
48,2017 Delhi Daredevils,919a3be2,RR Pant,14,3,8,1,0,y,931581,y
48,2017 Delhi Daredevils,a4cc73aa,SV Samson,14,0,4,2,0,y,425943,
48,2017 Delhi Daredevils,c16d4035,SW Billings,6,0,4,3,0,y,297628,
48,2017 Delhi Daredevils,855a210c,AP Tare,3,0,0,,0,y,333904,
59,2017 Gujarat Lions,b8a55852,BB McCullum,11,0,8,1,0,y,37737,
59,2017 Gujarat Lions,c03f1114,KD Karthik,14,0,8,2,0,y,30045,y
59,2017 Gujarat Lions,b8d490fd,AJ Finch,13,0,6,3,0,,5334,
59,2017 Gujarat Lions,752f7486,Ishan Kishan,11,0,4,4,0,y,720471,
121,2017 Kings XI Punjab,fe11caa6,WP Saha,14,2,10,1,0,y,279810,y
121,2017 Kings XI Punjab,2be41edb,MJ Guptill,7,0,6,2,0,,226492,
121,2017 Kings XI Punjab,d2a6c0e6,EJG Morgan,4,0,3,3,0,,24598,
75,2017 Kolkata Knight Riders,1c17e270,RV Uthappa,13,6,9,1,0,y,35582,y
75,2017 Kolkata Knight Riders,93b4fc78,MK Pandey,13,0,8,2,0,,290630,
75,2017 Kolkata Knight Riders,bb345e0b,G Gambhir,16,0,6,3,0,,28763,
